number,value,datetime_start,datetime_complete,duration,params_batch_size,params_discount,params_eps_decay,params_grad_steps,params_hidden_units,params_lr,params_n_layers,state
37,0.98,2025-06-08 18:37:34.776611,2025-06-08 18:45:48.721130,0 days 00:08:13.944519,128,0.859790520645212,0.006094176662173819,3,256,0.00022362049051761346,2,COMPLETE
38,0.41,2025-06-08 18:45:48.726077,2025-06-08 18:50:33.246161,0 days 00:04:44.520084,32,0.8957830723751136,0.0004190679773941336,2,32,0.00022460435238167722,2,COMPLETE
39,1.0,2025-06-08 18:50:33.254235,2025-06-08 19:00:21.642389,0 days 00:09:48.388154,32,0.8670582087690846,0.0007894908666692457,4,256,0.0002611335305455992,2,COMPLETE
40,0.98,2025-06-08 19:00:21.647183,2025-06-08 19:10:09.786882,0 days 00:09:48.139699,32,0.8779853002763356,0.0018891522248035662,4,256,0.00016210269307647996,2,COMPLETE
41,1.0,2025-06-08 19:10:09.791224,2025-06-08 19:19:54.187363,0 days 00:09:44.396139,32,0.8921085127674728,0.0005452347625118208,4,256,0.0006484989996240414,2,COMPLETE
42,0.9966666666666667,2025-06-08 19:19:54.192060,2025-06-08 19:29:15.988415,0 days 00:09:21.796355,32,0.9066188457815153,0.00038469046368905116,4,256,0.000640447641255158,2,COMPLETE
43,0.8766666666666666,2025-06-08 19:29:15.993832,2025-06-08 19:38:36.145875,0 days 00:09:20.152043,32,0.8839215381588253,0.0006423409535836223,4,32,0.0005562483230383579,2,COMPLETE
44,0.8766666666666666,2025-06-08 19:38:36.150364,2025-06-08 19:45:37.231195,0 days 00:07:01.080831,32,0.9302240873438968,0.0007320855875322301,3,64,0.0005328603150468511,1,COMPLETE
45,0.8300000000000001,2025-06-08 19:45:37.235764,2025-06-08 19:55:12.416216,0 days 00:09:35.180452,32,0.9200017737790482,0.0001984632662930937,4,256,1.5016890255452121e-05,2,COMPLETE
46,0.9966666666666667,2025-06-08 19:55:12.422468,2025-06-08 20:04:50.810389,0 days 00:09:38.387921,32,0.8129895720471089,0.0009245941976103827,4,256,0.0008453516394826421,2,COMPLETE
47,0.9933333333333333,2025-06-08 20:04:50.815317,2025-06-08 20:15:24.677593,0 days 00:10:33.862276,128,0.807324772165495,0.000405006192211647,4,256,0.0001960674315855642,2,COMPLETE
48,0.9666666666666667,2025-06-08 20:15:24.680201,2025-06-08 20:22:46.687353,0 days 00:07:22.007152,64,0.8641688693790331,0.00433633796441207,3,256,0.0008132745165584856,1,COMPLETE
49,0.96,2025-06-08 20:22:46.692578,2025-06-08 20:30:10.705671,0 days 00:07:24.013093,32,0.837596366341681,0.0002728100095710441,3,256,0.00015646342157100843,2,COMPLETE
50,0.7366666666666667,2025-06-08 20:30:10.710645,2025-06-08 20:39:43.885641,0 days 00:09:33.174996,128,0.8884498407601158,0.00014070699334439664,4,32,0.00017405944873264098,2,COMPLETE
51,1.0,2025-06-08 20:39:43.889816,2025-06-08 20:45:04.925603,0 days 00:05:21.035787,64,0.8840438047258277,0.0008799407819209709,2,256,0.0007049847722367646,2,COMPLETE
52,0.8833333333333333,2025-06-08 20:45:04.932816,2025-06-08 20:47:42.003325,0 days 00:02:37.070509,32,0.8691943428407591,0.0003674418394238472,1,64,0.0009848502699165605,2,COMPLETE
53,0.8466666666666667,2025-06-08 20:47:42.010733,2025-06-08 20:52:48.266957,0 days 00:05:06.256224,64,0.877591668392438,0.004467516425268044,2,32,0.000405117503066739,2,COMPLETE
54,0.88,2025-06-08 20:52:48.274137,2025-06-08 20:57:41.003386,0 days 00:04:52.729249,64,0.8831243963076324,0.0005499883557224145,2,32,0.0006451211833249797,2,COMPLETE
55,0.93,2025-06-08 20:57:41.010665,2025-06-08 21:00:36.959674,0 days 00:02:55.949009,64,0.9008366652638263,0.000787746206032095,1,256,0.00018623214172320234,2,COMPLETE
56,0.9466666666666667,2025-06-08 21:00:36.966718,2025-06-08 21:09:34.699426,0 days 00:08:57.732708,32,0.8576056445389613,0.0002613649755561202,4,256,0.00033369407399002043,1,COMPLETE
57,0.9700000000000001,2025-06-08 21:09:34.703489,2025-06-08 21:16:58.212423,0 days 00:07:23.508934,64,0.8747238574071651,0.0014966174997457808,3,64,0.00035015525787577287,2,COMPLETE
58,1.0,2025-06-08 21:16:58.216786,2025-06-08 21:22:21.393237,0 days 00:05:23.176451,64,0.8728194149725969,0.0018312358717903954,2,256,0.0008686626482861668,2,COMPLETE
59,0.91,2025-06-08 21:22:21.398241,2025-06-08 21:31:41.941660,0 days 00:09:20.543419,32,0.869990333468856,0.0006882205122177379,4,64,0.0002633907550987552,2,COMPLETE
60,0.9533333333333333,2025-06-08 21:31:41.946868,2025-06-08 21:34:36.673916,0 days 00:02:54.727048,128,0.8993846257085686,0.0009519972579220394,1,128,0.0003547183308181704,2,COMPLETE
61,1.0,2025-06-08 21:34:36.680728,2025-06-08 21:39:57.090816,0 days 00:05:20.410088,64,0.8561284596672557,0.0007302986824695417,2,256,0.0009227170447833073,2,COMPLETE
62,1.0,2025-06-08 21:39:57.097760,2025-06-08 21:49:18.235995,0 days 00:09:21.138235,32,0.9234060372477442,0.0007829588106988096,4,128,0.0005457933292284181,2,COMPLETE
63,0.9833333333333334,2025-06-08 21:49:18.240488,2025-06-08 21:57:14.563766,0 days 00:07:56.323278,64,0.8356046364866883,0.006172660413161101,3,256,0.0002654810249489237,2,COMPLETE
